keyword,location,text
blew%20up,The Netherlands,You blew up Hogwarts didn’t you..
upheaval,,"""Rumours of a trial of no notice inspections"". Have they completely lost the plot? https://t.co/EvCqSi8zI0"
demolished,,28 menstrual huts demolished in single ward of Doti’s rural municipality https://t.co/SkpKeN3NdR https://t.co/3tIZrFR109
panic,God’s heart,"So today because of relationship palava, I almost had a panic attack😥...are you sure I won't go back to my ashawo ways like…"
crashed,,"I lost most my work when my laptop crashed mme kana, also produced Noello x Ghubu rap"
mudslide,Kenosha,I think he just ordered a mudslide with a boone's farm chaser....PJ can't handle this game
thunderstorm,USA,"NWS Alert&gt; Strong Thunderstorm Over Iuka Moving E At 50 MPH. Small Hail, Winds Over 30 MPH Possible. Locations Impa… https://t.co/G5yIYGlsRC"
sandstorm,"Fresno, CA",Iran Hit By Sandstorm &amp; Earthquake As They Plan To Attack Israel! https://t.co/pe19ITdRsi
trouble,,My “eh I get paid again soon” attitude really gets me and my bank account in trouble
drowning,"Redmond, WA, USA",The world is drowning in debt https://t.co/MO5aaufhPf
sirens,Cincinnati,"HOLD ON my nigga said “I’m afraid of love don’t think it will find me, talk to god above ask him what these si…"
drowned,,"• Exposed KCP burner, now shooting 43% (!!) from 3 • Drowned internet in Kuz trades to Knicks, has now recorded back-to-b…"
annihilation,Glasgow,The strangest part is the palpable disappointment that they will no longer rely on public funds. After years of austerity +…
bridge%20collapse,GL15 6SA,"Temporary Path Closure - Brockweir to Bigsweir Bridge, Riverside Route, due to works on riverside bank collapse, please…"
emergency,London,What climate emergency asks the . Only the briefest mention of it in their top story. Airline tax break ‘may be criticised…
injuries,Manila,Angkas once again suffering from back injuries for carrying the Ph government https://t.co/TzCr3sUjEo
war%20zone,,"A very good read. True that the authority has declared war on Hong Kong people. Use of tear gas &amp; live rounds, y…"
derailment,,They tell lies. A train I get was showing as cancelled due to lack of crew. An hour late…
hijack,UK,Davinder Singh involved in negotiation of Kandahar flight hijack in 1999. Davinder Singh involved in parliament attack 2…
mass%20murderer,Elwood,"Like the Premier says it's disgusting. By flying the the flag you support the man who created it, who… https://t.co/indeahJ666"
body%20bagging,"Wichita, KS",is body bagging barstool hubbs 😂😂😂
survived,Oz,Australia is airdropping vegetables from helicopters to feed the animals that survived the bushfires https://t.co/tOvpkU7C…
ruin,,It matter not how it all started- whether u were in the wrong or the one wronged. It's wrong for u to hold on to resen…
upheaval,UK,Schools should brace for five years of upheaval from a triumphant party with Gove at its heart | Melissa Benn… https://t.co/uyjo86lXph
inundation,Curitiba - Brazil,"Last year, NOS’s Center for Operational Oceanographic Products and Services released the Coastal Inundation Dashboard, a web…"
desolate,,"""Let their habitation be desolate; [and] let none dwell in their tents."" ~Psalms 69:25 #Bible #Poetry #God"
typhoon,Wiltshire,"75 years ago today, P/O Frank Johnson RCAF took Hawker Typhoon RB396 up for an air test and some local flying from the…"
sunk,"London, England",should demand accountability from abuses of command agriculture. Its now clear its not about food secu… https://t.co/giFheMbjRn
body%20bag,Quezon City,Buri handwoven bags : • Buri handbag - Php 280.00 • Buri pencil case - Php 40.00 • Buri body bag - Php 200.00 • Bu… https://t.co/deSlkVMT8A
drowned,"Port Harcourt, Nigeria",Never be afraid of being a lone wolf with God. You see most humans? They are echoes. Not a voice. It's when you dont ne…
sirens,"Wellington City, New Zealand",“😏” activates the kill bill sirens
army,,"So ARMY ZIP drops then CONNECT, BTS and then Run? Damn"
battle,,K-One Its offline protest is ongoing right now. LED trucks are currently in Yuehua. One Its! This fight is not an over…
detonate,"Pittsburgh, PA","Bernie isn’t the “detonate” button, he’s the “recreate &amp; restore” button. https://t.co/zJPV7ScquY"
casualties,"Siracusa, Sicilia",#AustraliaBushfires: The race to save #KangarooIslandFires animal casualties!! #AustralianBushfiresDisaster…
deaths,"Cape Cod, Massachusetts USA","Drug overdose calls, deaths up in Yarmouth https://t.co/g3LoYEcJLe"
derailment,,Train derailment causes pileup in Dunn County https://t.co/P0iKOyBFAP
emergency,"Portland, OR",RenewOregon: It's time to take action on our climate emergency. I'm counting on my Legislators to pass a…
mass%20murder,Central Texas,"War is essentially mass murder, the only form of ""capital punishment"" I support is the use of defensi… https://t.co/oJIVe2ReaO"
collision,Isle of Man,ROAD TRAFFIC COLLISION Victoria Road Junction with Marathon Road. Road Partially Blocked. Police en route.
blazing,"Barling, AR.","Your Kindle need a few new Westerns in it? Fill the need with one my Westerns, like Bass Reeves: Blazing Fury, now… https://t.co/yAAHI8Mxfw"
evacuated,New York City,"RT CurbedNY """"The hollow grandeur of Hudson Yards and the evacuated spaces of the Hunters Point Library in Queens h… https://t.co/QCGMiL5qR6"
crashed,,"""Boy, I remember the day I bought this software. Grandpa had just gotten arrested for se… https://t.co/Z9ZdtLqRxU"
crashed,"Surfers Paradise, Gold Coast","Seventy-seven years after it vanished off the coast of Hawaii, a World War II fighter has been discovered. #9News https://t.co/lVohkid5Au"
drown,"Atlanta, GA",My neighbors are an arguing couple. This nigga kicked his baby momma out the crib and she’s yelling at his door. He… https://t.co/ZoEPddPGSm
razed,Glebe NSW Australia,"It's here! This book is my heart spilled all over the page, with its brokenness and fears and hope as I deconstruct…"
detonate,,NEW TODAY Authorities reveal that the antisemitic couple who targeted the kosher supermarket in NJ - ALSO had had a massive…
floods,"Seewis im Prättigau, Schweiz","Busy night for our #RapidMappingTeam While working on the #TaalEruption in the Philippines, we received another activati…"
injury,,Leonardo Spinazzola to Inter: + A rarity: athletic Italian player + Confident with both feet and in 1v1 situations + Knows…
crush,,when i was like 6 i had a huge crush on spider man then when i figured out it was a mask and saw tobey m…
obliterate,in mista's pants,Dayum boi u didnt have to ABSOLUTELY OBLITERATE THEM LIKE THAT
hail,Throwing Shade,"👉🏻Confession Time Always had a soft corner for Arti, but I used to pity her at times (which to me is worse than hat… https://t.co/qqDjGTUqAb"
hailstorm,,Don’t let beehive see this. https://t.co/F3s81vNFxX
catastrophic,,"2019 was catastrophic, as I experienced it. And we are only at 1.1 °C of global warming!! https://t.co/cntr3OxWXi"
quarantine,"Puerto Rico, USA",🆘A PROBABLE WRONG CONVICTION FROM A LOUSY OWNER WILL COST SCRUFFY HIS LIFE TOMORROW IF HE DOESN’T GET A COMMITMENT TODAY🆘I…
deluge,,"They ran it well before she confirmed it, and ran it despite her campaign refusing to comm… https://t.co/HCAlV56NWU"
fear,(he/him),You know what I deleted my tweet out of fear yesterday but I’m standing by it... I like Bieber’s new song
collide,USA,Two buses collide head-on Hatton-Kandy road in Diyagala injuring 20 passengers https://t.co/yFkMn29Qi2 https://t.co/y9mJvRWg4y
blew%20up,,damv this blew up. follow m
avalanche,,Army jawans &amp; BSF post is said to have come under heavy avalanche respectively. Till now 1 BSF Soldier lost his life &amp; 1 A…
fatality,On a journey,This should also apply to the tens of thousands of children and young people who local authorities neglected from t… https://t.co/mZBHAVUNpE
fire%20truck,,Taco truck sounds fire rn
panicking,probably crying,"OMG THEY ALWAYS DO THAT! they ask you to speak with them and then they aren’t there, it only makes it so… https://t.co/FLrf358r1N"
accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU
buildings%20burning,Chicago,I’ve been following Cory Booker for a very long time. The man has literally saved people from burning buildings. He cares.
mass%20murderer,,Oh so Eminems a mass murderer who wants to fuk his mom? Do you hold rallies against Comed… https://t.co/uNQ3QnqO3W
bleeding,,I forgot my lip balm and now I’m holding a sleeping baby and my lips are dry and cracked and bleeding.
destroy,Texas/Florida,I deeply respect you but have to disagree. The staff may have spread her “word” but I put 100% blame on …
buildings%20on%20fire,"Lima, OH",No one was injured after a fire on the 6th floor of the apartment buildings on N. Elizabeth St. in Lima. https://t.co/1tP3OuqyQe
nuclear%20disaster,New England,"In its entire history, nuclear has caused the deaths of only sixty people. All were from Chernobyl… https://t.co/c4cSCr5kMB"
fear,London and Poole,"Margaret Macmillan cites spiteful Wall St banker hostile to JMK 1919: ""Keynes got sore because they wouldn't take his advi…"
fatalities,"East Africa,Country: Rwanda ","Traffic Police says that an estimated 60 per cent of fatalities from motorcycle accidents are caused by head injuries,…"
terrorism,,"3yrs after IPOB formed Biafra security Service, d Yoruba leaders unike d Igbo counterparts, fromed AMOTEKUN against Nig govt t…"
drown,,Animal Titanic Nbs drowning Neggar dey come drown Awwww 😂😂😂😂 The background song weak me https://t.co/FUTvfA5ATM
rescuers,,"Knowing the current situation in the places affected by the eruption of Taal Volcano, many fur babies have been lef… https://t.co/E0UpndyAUn"
buildings%20burning,PlanetJCG,#BoundBrookFire Firefighters from several different departments came together to prevent even more buildings from burn…
blood,,"/ #blood NEED: #dadu Me Hik Zaroratmand Aurat Khe Emergency Me O-ve #blood Ji Sakht Zarorat Ahe Insan Dost Rabto Kan, Co…"
emergency%20plan,Nigeria,A Standard building has EMERGENCY EXIT and FIRE EXTINGUISHER. As a Standard Finance has INSURANCE PLAN. Contact me for the best plan.
devastated,,Our country has been devastated by bushfires &amp; we need your help! 🔥 So that's why we're proud to announce The Down-Unde…
body%20bag,"Dublin, Ireland",Human body parts have been found in a bag on a road in Dublin https://t.co/zrJryNq25O https://t.co/Qn5LpKN2od
obliterated,,I often encounter double IS Susanoo alt lately it's not even funny anymore 8( //even I typed… https://t.co/S40SuTVIXE
suicide%20bombing,Worldwide,"JAN. 13, 2017. Remembering the #bombing in Madagali, #Nigeria. Suicide bombers killed six and injured many in a cro… https://t.co/gea3TlUx5U"
damage,Gay Heaven,LOOK: The extreme damage of ash fall in Pulo island in Batangas burying some houses in the area. This is a residential sit…
survivors,"London, United Kingdom",Couldn't agree more with this piece by on the need for a parallel strategy for male victims and the n… https://t.co/TtckUAq82C
thunderstorm,,"NWSSPC: #SPC Jan 13, 2020 2000Z Thunderstorm Outlook https://t.co/XKvUhxyfTl"
hurricane,The sky under the sea,"I keep it cool around you, inside im a hurricane"
death,,Absolutely agree that the police cuts have led to communities literally suffering from the death of… https://t.co/wdM3L6vxlY
blizzard,"Ohio, USA","Also, with the announcement of Overwatch 2(which don’t get me wrong I will play tons of), Blizzard has already slow… https://t.co/mCrN7yStna"
casualties,"北京, 中华人民共和国","#Update: No casualties have been found and the fire has been put out, according to local authorities. The cause of… https://t.co/130QV9UDSC"
deaths,"Coogee, Sydney",I wonder how many fewer children in Australia would have died if I had decided to vaccinate my child I wonder whether or not…
injury,"Nairobi, Kenya",Football: Chris Sutton names the Chelsea star who could benefit from Harry Kane's injury blow https://t.co/TIUnpu9Gby…
hailstorm,zombieland,MAN COME ON
